property_type,society,sector,price_in_cr,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score
flat,m3m one key resiments,sector 67,0.8,13114.97,1,1,0,0.0,relatively new,610.0,0,0,0,0,0,1,39.63
flat,m3m skycity,sector 65,3.5,17039.01,3,3,3,15.0,new,2282.0,1,1,1,0,0,0,146.0
house,dlf city phase 1,sector 26,4.5,33333.09,3,3,2,2.0,relatively old,1350.01,1,1,0,0,0,1,48.0
flat,vatika gurgaon,sector 83,0.87,6987.0,2,2,2,3.0,relatively old,1132.0,0,0,0,0,0,1,18.0
flat,pareena laxmi apartments,sector 99,0.31,5903.97,2,2,2,6.0,new,583.0,0,0,0,0,0,1,49.0
flat,vatika gurgaon,sector 83,1.25,6313.0,3,3,2,2.0,relatively new,1800.0,1,0,0,0,0,1,95.0
flat,unitech vistas,sector 70,0.53,4799.99,2,2,2,9.0,under construction,995.0,0,0,0,0,1,1,20.0
flat,corona optus,sector 37,1.44,7236.0,3,3,3+,2.0,relatively new,1782.0,1,1,0,0,1,1,24.0
flat,assotech blith,sector 99,1.15,6593.02,2,2,2,2.0,new,1241.0,0,0,0,0,1,0,50.0
flat,paras dews,sector 106,0.92,6642.02,2,2,3+,2.0,relatively new,940.0,0,0,0,0,0,1,151.0
flat,hcbs sports ville,sector 47,0.25,4165.97,1,1,1,12.0,relatively new,600.0,0,0,0,0,0,1,30.0
flat,paras dews,sector 106,1.25,7101.99,3,4,3+,5.0,relatively new,1186.0,1,0,0,0,0,1,142.0
flat,woodstock floors,sector 50,1.05,10626.99,2,2,2,2.0,relatively old,1098.0,0,0,0,0,0,1,35.0
flat,puri emerald bay,sector 104,2.49,10163.02,3,3,3+,14.0,relatively new,2227.0,1,0,0,0,0,0,102.0
flat,ats triumph,sector 104,2.0,8733.01,3,4,3+,4.0,relatively new,2082.0,1,0,0,0,0,1,51.0
flat,dlf new town heights,sector 90,1.95,7150.01,4,4,3+,24.0,relatively new,2446.0,1,0,0,1,0,1,154.0
flat,emaar imperial gardens,sector 102,1.98,9900.0,3,3,3+,9.0,relatively new,2222.0,1,0,0,0,0,0,52.0
flat,dlf regal gardens,sector 90,1.65,7449.01,4,4,3+,15.0,relatively new,2214.0,0,0,0,0,0,0,135.0
flat,paras dews,sector 106,1.25,10655.98,3,4,3,14.0,relatively new,1305.0,1,1,0,0,0,1,139.0
flat,trisara our homes 3,sector 47,0.21,4339.02,1,1,0,2.0,new,484.0,0,0,0,0,0,1,42.53
house,international city by sobha phase 1,sector 109,5.9,24280.04,4,5,2,2.0,relatively new,2430.0,1,0,0,0,0,0,86.0
flat,hcbs sports ville,sector 2,0.35,4375.0,2,2,2,8.0,relatively new,800.0,0,0,0,0,0,1,18.0
flat,orchid petals,sector 49,4.16,11699.99,5,4,3+,14.0,relatively new,3234.0,1,1,0,0,0,1,21.0
flat,bhagwati sadan,sector 12,1.15,5750.0,3,4,2,2.0,old,2000.0,1,1,0,0,1,0,12.0
flat,dlf the crest,sector 54,11.0,35482.96,4,5,3+,7.0,relatively new,3444.0,1,1,1,0,0,1,24.0
flat,professional society,sector 1,0.75,3067.0,3,4,3,3.0,relatively new,2717.0,1,0,0,0,0,1,20.0
flat,godrej oasis,sector 88,1.5,8108.02,3,3,2,3.0,relatively new,2056.0,0,0,0,0,0,1,39.0
flat,sidhartha ncr one phase,sector 95,0.43,3152.01,2,2,2,6.0,relatively new,1300.0,0,0,0,0,0,1,90.0
house,dlf city plots phase 2,sector 25,10.75,29861.03,9,9,3+,3.0,old,3600.0,1,0,1,1,0,1,56.0
flat,dlf garden city floors,sector 92,1.7,8587.98,3,4,2,1.0,under construction,1482.0,0,0,0,0,0,1,55.0
flat,signature the roselia,sector 95,0.42,6193.96,2,2,2,12.0,new,670.0,0,1,0,0,0,0,63.0
flat,antriksh heights,sector 84,0.94,6999.99,3,2,3+,10.0,new,1227.0,0,1,0,0,0,0,70.0
flat,smart world gems,sector 89,0.95,8600.01,2,2,2,4.0,new,1226.0,1,1,0,0,0,1,40.0
flat,raisina residency,sector 59,5.0,13058.0,4,4,3+,13.0,relatively new,4254.0,1,1,1,1,0,0,149.0
flat,m3m heights,sector 65,3.0,17999.96,3,3,3,20.0,under construction,1666.67,0,0,0,0,0,1,49.0
flat,corona optus,sector 37,1.43,7184.99,3,3,3+,2.0,relatively new,1837.0,1,1,0,0,1,1,24.0
flat,experion windchants,sector 112,2.5,13887.96,2,2,3,10.0,relatively new,1800.05,0,1,1,0,0,0,151.0
flat,ss the leaf,sector 85,2.1,8719.99,3,4,3+,6.0,relatively new,2018.0,1,0,0,0,0,1,128.0
flat,supertech hues,sector 68,1.0,8474.0,2,2,2,12.0,new,1311.0,0,0,0,0,0,1,27.0
flat,ss the leaf,sector 85,1.17,6720.01,2,3,3,10.0,relatively new,1550.0,0,0,0,0,1,1,24.0
flat,emaar gurgaon greens,sector 102,1.45,8786.97,3,3,2,7.0,relatively new,1500.0,1,0,0,0,0,0,151.0
flat,experion the heartsong,sector 108,0.87,11844.95,2,3,3,2.0,relatively new,734.42,1,0,0,0,0,0,89.0
house,independent,sector 23,2.7,18620.05,5,5,2,3.0,old,1450.05,0,0,0,0,0,0,13.0
flat,central park flower valley aqua front towers,sector 47,1.7,9449.01,3,3,3+,5.0,new,1690.0,0,0,0,0,0,0,37.0
flat,om appartments,sector 5,0.4,4444.0,3,2,1,3.0,relatively new,1000.0,0,0,0,0,0,1,3.0
house,ats tourmaline,sector 109,1.87,8696.99,3,4,0,12.0,relatively new,2150.0,0,0,0,0,0,1,56.39
flat,la vida by tata housing,sector 113,2.85,12854.98,3,3,3+,10.0,new,2015.0,1,0,0,0,0,1,48.0
flat,m3m woodshire,sector 107,0.94,6881.0,2,2,3+,1.0,relatively old,1242.0,0,0,0,0,0,1,87.0
flat,ss the leaf,sector 85,1.18,10726.98,2,2,3,9.0,relatively new,1700.0,0,1,0,0,0,0,122.0
house,bptp visionnaire,sector 70,5.25,20115.02,5,4,3+,3.0,new,2610.0,1,0,0,0,0,0,30.0
house,independent,sector 5,0.75,6410.26,2,2,0,1.0,old,130.0,0,0,0,0,0,1,6.57
flat,godrej air,sector 85,1.4,10000.0,2,2,3,23.0,relatively new,1400.0,0,0,0,0,0,1,58.0
flat,dlf the skycourt,sector 86,1.6,8293.98,3,3,1,14.0,relatively new,1754.0,0,0,1,0,0,1,57.0
house,vatika india next,sector 82,6.8,20987.98,4,4,3+,3.0,relatively new,3240.0,1,0,0,0,0,2,93.0
flat,paras dews,sector 106,1.05,8536.03,3,4,3+,10.0,relatively new,1345.0,1,0,0,0,0,1,151.0
flat,pivotal devaan,sector 84,0.37,6346.05,2,2,1,5.0,relatively new,530.0,0,0,0,0,0,1,50.0
flat,godrej aria,sector 79,1.45,9061.99,2,2,3+,9.0,relatively new,1494.0,0,1,0,0,0,1,77.0
house,independent,sector 11,4.0,19752.99,5,4,1,2.0,old,2025.01,0,0,0,0,0,1,26.91
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10382.97,2,2,2,14.0,relatively new,915.0,0,0,0,0,0,1,53.24833333333333
flat,bptp astaire gardens,sector 70,1.7,8946.99,4,3,3,1.0,relatively new,2111.0,0,0,0,0,0,0,21.0
flat,eldeco accolade,sector 47,0.72,4974.99,2,2,3+,12.0,relatively new,1127.0,0,1,0,0,0,1,123.0
house,bptp astaire gardens,sector 70,6.5,27871.04,4,4,3+,2.0,new,2332.17,1,1,1,0,0,0,134.0
flat,tulip white,sector 69,0.91,6862.02,3,2,2,12.0,relatively old,1473.0,0,0,0,0,0,1,39.0
flat,kibithu villas,sector 48,3.45,12777.02,4,4,3+,2.0,relatively old,3000.0,0,0,0,0,0,1,54.29
flat,bestech park view ananda,sector 81,0.95,10626.04,2,2,2,2.0,relatively new,1108.0,0,0,0,0,0,0,80.0
flat,vatika xpressions,sector 88,0.92,7360.0,2,2,2,3.0,relatively new,1300.0,0,0,1,0,0,1,149.0
flat,signature global superbia,sector 95,0.4,6728.0,2,2,3,2.0,under construction,661.0,0,0,0,0,0,1,34.845
flat,godrej summit premia towers,sector 104,0.9,7148.98,2,2,0,16.0,relatively new,1259.0,0,0,0,0,0,1,58.97
flat,paras dews,sector 106,1.17,6647.01,3,4,3+,12.0,relatively new,1186.0,1,0,0,0,0,1,24.0
flat,hcbs sports ville,sector 47,0.38,5067.0,2,2,2,9.0,new,750.0,0,0,0,0,0,1,47.62
house,independent,sector 9,1.65,18332.93,2,3,0,3.0,old,900.0,0,0,0,0,0,1,18.54
flat,pioneer araya,sector 62,9.2,19942.99,4,6,3,5.0,relatively new,3852.0,1,0,1,0,0,0,136.0
flat,signature global synera,sector 81,0.4,6319.02,2,2,1,12.0,relatively new,583.0,0,0,0,0,0,0,16.0
flat,adani aangan galleria,sector 89,0.25,5000.0,1,1,1,6.0,new,430.0,0,0,0,0,0,1,52.0
flat,m3m sky lofts,sector 71,1.0,11499.94,1,1,1,9.0,relatively old,869.0,0,0,0,0,0,1,74.0
flat,m3m crown,sector 111,4.67,16999.99,4,4,3+,8.0,under construction,3056.0,0,0,0,0,0,1,68.0
flat,tulip ivory,sector 70,2.0,8332.99,4,5,3+,2.0,relatively new,2182.0,1,0,0,0,0,0,24.0
house,independent,sector 43,9.5,42222.03,5,5,3+,2.0,relatively new,2250.01,1,0,1,0,0,0,60.0
flat,m3m woodshire,sector 107,0.82,6002.01,2,2,3+,7.0,relatively new,1242.0,0,0,0,0,0,1,89.0
flat,pyramid elite,sector 86,0.45,7846.01,2,2,1,12.0,under construction,637.0,0,0,0,0,0,1,29.0
flat,bestech park view residency,sector 2,1.36,7645.99,3,3,3+,5.0,relatively old,1618.0,0,0,0,0,0,1,67.0
house,independent,sector 17,8.5,18814.01,4,4,2,2.0,old,4517.91,1,1,1,0,0,0,11.0
house,emaar mgf marbella,sector 66,12.0,37037.04,5,5,3+,3.0,new,3240.0,1,0,1,1,0,0,76.0
house,independent,sector 25,4.35,32221.98,5,4,3,3.0,old,1350.01,1,0,0,0,0,1,30.0
flat,emaar gurgaon greens,sector 102,1.35,8180.98,3,3,3,9.0,relatively new,1310.0,1,0,0,0,0,1,73.0
flat,smart world gems,sector 89,0.85,7705.98,2,2,2,2.0,under construction,1226.0,0,1,0,0,0,1,58.0
house,huda flats,sector 7,2.3,17037.04,5,3,3+,3.0,old,1350.0,1,1,1,0,0,1,12.0
flat,m3m golfestate,sector 65,5.0,16666.0,3,3,3,2.0,relatively new,3245.0,1,0,0,0,0,0,151.0
flat,m3m the marina,sector 68,1.02,8094.98,2,2,2,11.0,relatively new,1250.0,0,0,0,0,1,0,24.0
flat,eldeco accolade,sector 47,1.1,7548.98,3,2,3,13.0,relatively new,1325.0,0,0,0,0,0,1,56.0
house,independent,sector 3,0.9,8928.04,3,1,0,1.0,relatively old,1008.0,0,0,0,0,0,1,14.24
flat,indiabulls centrum park,sector 103,1.33,8579.98,3,3,3+,8.0,relatively new,1664.0,0,1,0,0,0,1,127.0
flat,godrej aria,sector 79,1.69,8522.01,3,3,2,7.0,relatively new,1803.0,0,0,0,0,0,1,84.0
flat,shree vardhman victoria,sector 70,1.6,8205.0,3,3,3,10.0,relatively new,1522.0,1,1,1,0,1,1,21.0
house,vatika india next,sector 82,6.5,20061.98,4,3,0,2.0,relatively new,3239.96,0,0,0,0,0,1,48.14
flat,ss the leaf,sector 85,1.08,6585.0,2,2,3,8.0,new,1200.0,1,1,1,1,0,0,137.0
flat,tulip violet,sector 69,1.68,10070.98,3,3,2,0.0,relatively new,1516.0,0,0,0,0,0,1,137.0
flat,experion the heartsong,sector 108,0.93,6078.99,2,3,3,10.0,relatively new,1166.0,0,0,0,0,0,1,71.0
flat,puri the aravallis,sector 61,3.87,17200.0,3,4,3+,21.0,under construction,2250.0,1,0,0,0,0,1,48.0
house,independent,sector 5,0.7,7007.01,2,3,1,1.0,relatively new,999.0,0,0,1,1,0,1,11.0
flat,supertech araville,sector 79,0.9,6950.02,2,2,0,12.0,relatively new,1295.0,0,0,0,0,0,1,59.13
house,vipul tatvam villa,sector 48,8.2,25309.03,3,3,2,2.0,relatively old,3240.0,1,1,1,0,0,2,134.0
flat,tarc maceo,sector 91,1.8,7757.99,3,3,3+,0.0,relatively new,2578.0,0,0,1,0,0,2,39.0
flat,orchid petals,sector 49,2.45,11886.97,3,3,3,0.0,relatively new,1874.0,0,1,0,0,0,1,24.0
flat,raheja navodaya,sector 92,1.1,4680.99,3,2,3,0.0,relatively new,2350.0,0,0,0,0,0,1,58.72
flat,ss the leaf,sector 85,1.25,7179.0,2,2,3,10.0,relatively new,1730.0,0,0,0,0,0,1,24.0
house,independent,sector 89,0.29,3254.0,2,1,0,0.0,old,891.0,0,0,0,0,0,1,8.7
flat,shree vardhman flora,sector 90,0.7,5177.02,2,2,3,9.0,new,1229.0,0,1,0,0,0,1,64.0
flat,signature global orchard avenue,sector 93,0.4,7359.03,2,2,2,11.0,new,604.0,0,0,0,0,0,1,18.0
flat,unitech uniworld gardens,sector 47,2.4,11505.0,3,3,3+,10.0,relatively old,1896.0,1,0,0,0,0,0,94.0
flat,ats kocoon,sector 109,1.7,9742.01,3,3,3,22.0,relatively new,1550.0,0,0,0,0,0,1,50.0
flat,signature global park,sector 47,0.78,6446.01,3,3,3,3.0,relatively new,1344.0,0,0,1,0,0,1,127.0
flat,tulip yellow,sector 69,1.8,10563.01,3,3,3,14.0,under construction,1893.0,0,0,0,0,0,1,52.0
house,independent,sector 28,1.39,11583.04,2,2,1,3.0,old,1450.0,0,0,0,1,0,1,27.0
flat,shri ram apartments,sector 3,0.32,3368.0,2,2,1,4.0,relatively new,1056.0,0,0,0,0,0,0,5.0
flat,conscient heritage max,sector 102,2.1,9771.99,3,4,3+,10.0,relatively new,1954.0,1,1,0,0,0,1,41.0
flat,sare green parc phase 3,sector 92,1.08,5149.99,4,4,2,16.0,new,1900.0,1,0,0,0,0,1,77.0
house,independent,sector 52,3.1,20025.97,5,4,3+,2.0,relatively old,1547.99,1,0,0,1,0,0,45.0
flat,emaar mgf the enclave,sector 66,1.9,10555.03,3,4,2,8.0,relatively new,1850.0,1,0,0,0,0,0,151.0
flat,eldeco accolade,sector 47,0.73,5775.0,2,2,3,5.0,relatively new,974.0,0,0,1,0,0,1,18.0
flat,ats marigold,sector 89,1.7,9714.01,3,3,3+,8.0,under construction,1944.0,0,1,0,0,0,1,50.0
flat,signature global park,sector 47,0.54,7200.0,2,2,2,4.0,under construction,833.0,0,0,0,0,0,1,84.0
flat,ambience creacions,sector 22,1.75,12700.03,2,2,2,11.0,under construction,1255.0,0,0,0,0,0,1,55.0
flat,bptp amstoria,sector 102,1.9,8443.99,3,3,3+,1.0,relatively new,2500.0,1,0,0,0,0,1,151.0
house,independent,sector 4,3.3,14666.99,3,3,2,1.0,old,2250.0,0,0,0,0,0,1,27.0
flat,rof ananda,sector 95,0.55,5500.0,3,2,2,14.0,new,863.0,0,1,0,0,0,2,20.0
flat,signature the roselia,sector 95,0.42,7293.06,2,2,2,12.0,new,670.0,0,0,0,0,0,0,66.0
flat,emaar mgf emerald floors premier,sector 65,2.8,14177.0,4,4,3,2.0,relatively new,2194.0,1,1,0,0,0,0,78.0
house,godrej meridien,sector 106,5.6,14000.0,5,4,3+,33.0,new,4000.0,1,1,1,1,0,1,125.0
flat,ashiana mulberry,sector 47,1.05,5412.01,2,2,3,1.0,new,834.96,0,1,0,0,0,1,24.0
house,independent,sector 5,1.0,6666.98,1,1,0,1.0,old,1500.0,0,0,0,0,0,1,18.57
house,independent,sector 28,9.0,27778.03,6,7,3+,3.0,relatively old,3240.0,1,1,1,1,0,1,55.0
flat,sobha city,sector 108,3.75,14937.98,3,3,2,16.0,new,2130.0,1,0,0,0,0,1,69.0
flat,dlf regal gardens,sector 90,1.75,7900.0,4,4,3+,3.0,relatively new,2014.0,0,0,0,0,1,1,6.0
flat,smart world gems,sector 89,1.0,9006.98,2,2,3,3.0,new,1233.0,0,1,0,0,1,1,76.0
flat,emaar mgf emerald floors premier,sector 65,3.0,15189.03,4,4,3+,2.0,relatively new,1975.11,1,0,0,0,0,1,74.0
flat,paras dews,sector 106,0.97,8818.02,2,2,3,6.0,new,1200.0,0,0,1,0,0,0,151.0
house,greenopolis,sector 89,0.7,5396.99,2,2,2,14.0,old,1297.0,0,0,0,0,0,1,58.73
flat,capital residences 360,sector 70,1.68,8501.98,3,3,3+,5.0,new,1900.0,1,0,0,0,0,1,122.0
flat,shree vardhman flora,sector 90,0.7,5383.99,2,2,3,13.0,new,1182.0,0,1,0,0,0,1,10.0
flat,elan the presidential,sector 106,6.3,15384.01,5,6,3+,10.0,under construction,3782.0,0,0,0,0,0,0,60.0
flat,emaar gurgaon greens,sector 102,1.42,8606.01,3,3,3,7.0,relatively new,1310.0,1,0,0,0,0,1,105.0
flat,shree vardhman flora,sector 90,0.95,6333.0,3,3,3,9.0,relatively new,1667.0,1,0,0,0,0,1,79.0
flat,paras dews,sector 106,0.95,6859.01,2,2,3+,2.0,relatively new,940.0,0,0,0,0,0,1,24.0
flat,the cocoon,sector 104,2.0,13332.98,3,3,3,5.0,new,1364.0,0,0,0,0,0,1,40.58
